id,date,matchweek,home_team_id,away_team_id,home_team_score,away_team_score,attendance,youtube_id
278,11/25/2023,13,12,8,2,1,"11,029",f2V2TwdrhJw
279,12/6/2023,15,8,3,0,2,"25,078",eBaF9jqFOH4
280,12/21/2023,18,8,5,1,1,"24,171",EDEaatlnVQo
281,12/30/2023,20,8,4,3,1,"25,472",OxSCY7D0hh4
282,1/30/2024,22,8,17,3,2,"24,781",x0617A50YcE
283,2/3/2024,23,5,8,4,1,"31,345",zOxwgb_dBE4
284,2/19/2024,25,9,8,1,1,"38,164",aLW8nUkLlvc
285,2/24/2024,26,8,6,3,0,"24,042",ozogImyZzSI
286,3/9/2024,28,8,12,1,1,"25,103",WClC4cGi13c
287,3/30/2024,30,16,8,1,1,"29,520",LJUg8kC6DQ8
288,4/2/2024,31,3,8,1,0,"11,058",O4YzQKCeyp0
289,4/27/2024,35,10,8,1,1,"24,142",OXF_4XsGCLA
290,5/11/2024,37,20,8,1,3,"31,424",lTmqz6EmyLA
291,8/12/2023,1,5,12,4,1,"31,872",SxFCNejk_RI
292,8/19/2023,2,20,5,1,4,"31,317",Dm2qd9dBOjs
293,9/24/2023,6,5,3,3,1,"31,617",DglG6WnGQL4
294,10/29/2023,10,5,10,1,1,"31,550",E0DFOa4KaIw
295,11/4/2023,11,9,5,1,1,"38,683",NV7LrQEBIc4
296,11/12/2023,12,5,17,1,1,"31,367",kAjzjdD6CcI
297,11/25/2023,13,16,5,2,3,"29,404",r9UZtfiKEfk
298,12/6/2023,15,5,4,2,1,"31,571",56lV1tNO9m4
299,12/9/2023,16,5,6,1,1,"31,511",ATqA_dqveqc
300,1/22/2024,21,5,20,0,0,"41,505",Er7rnf9zFbg
301,1/30/2024,22,12,5,4,0,"10,994",Znzub7yjj9w
302,2/18/2024,25,17,5,0,5,"29,522",Siaz5XXkxkU
303,2/24/2024,26,5,9,1,1,"41,646",AZLx_d5IFyE
304,3/2/2024,27,10,5,3,0,"24,460",LrmNj3tI6zE
305,3/10/2024,28,5,16,1,0,"31,505",63yFVNfrpBs
306,4/3/2024,31,4,5,0,0,"17,024",OWyhU0YRKF0
307,4/13/2024,33,6,5,1,1,"20,687",lWThTbXFf7A
308,4/28/2024,35,3,5,3,0,"11,188",q3T8rL938gM
309,9/2/2023,4,4,3,2,2,"16,973",4FiLWLdw31M
310,10/7/2023,8,9,3,3,0,"38,815",MrMSp06lk_I
311,10/21/2023,9,3,20,1,2,"11,175",L8vWRWeHqrM
312,10/28/2023,10,3,6,2,1,"11,152",mSy6OEglYPc
313,11/25/2023,13,17,3,1,3,"30,208",9hGlgyBRGVs
