id,player_name,team_id,age,position,nationality,height,weight,jersey_number
489,Willy Boly,16,32,Defender,Côte d'Ivoire,195,92,30
490,Brandon Aguilera,16,20,Midfielder,Costa Rica,179,60,41
491,Cheikhou Kouyate,16,34,Midfielder,Senegal,189,83,8
492,Danilo,16,22,Midfielder,Brazil,176,69,28
493,Ibrahim Sangare,16,26,Midfielder,Côte d'Ivoire,191,77,6
494,Morgan Gibbs-White,16,23,Midfielder,England,171,0,10
495,Nicolas Dominguez,16,25,Midfielder,Argentina,179,73,16
496,Orel Mangala,16,25,Midfielder,Belgium,178,80,5
497,Ryan Yates,16,26,Midfielder,England,190,87,22
498,Anthony Elanga,16,21,Forward,Sweden,178,70,21
499,Callum Hudson-Odoi,16,23,Forward,England,182,76,14
500,Christopher Wood,16,32,Forward,New Zealand,191,81,11
501,Divock Origi,16,28,Forward,Belgium,185,75,27
502,Taiwo Awoniyi,16,26,Forward,Nigeria,183,84,9
503,Ellery Balcombe,4,24,Goalkeeper,England,190,92,40
504,Mark Flekken,4,30,Goalkeeper,Netherlands,195,87,1
505,Thomas Strakosha,4,28,Goalkeeper,Albania,186,78,21
506,Vincent Angelini,4,20,Goalkeeper,Scotland,186,0,41
507,Aaron Hickey,4,21,Defender,Scotland,178,72,2
508,Ben Mee,4,34,Defender,England,180,74,16
509,Charlie Goode,4,28,Defender,England,196,89,4
510,Ethan Pinnock,4,30,Defender,Jamaica,187,79,5
511,Kim Ji-Soo,4,19,Defender,"Korea, South",192,75,36
512,Kristoffer Ajer,4,25,Defender,Norway,198,92,20
513,Mads Roerslev,4,24,Defender,Denmark,184,77,30
514,Mathias Jorgensen,4,33,Defender,Denmark,191,79,13
515,Nathan Collins,4,22,Defender,Ireland,193,0,22
516,Rico Henry,4,26,Defender,England,170,67,3
517,Valintino Adedokun,4,20,Defender,Ireland,0,0,42
518,Bryan Mbeumo,4,24,Midfielder,Cameroon,173,64,19
519,Christian Norgaard,4,29,Midfielder,Denmark,187,77,6
520,Ethan Brierley,4,20,Midfielder,England,168,0,38
521,Frank Onyeka,4,26,Midfielder,Nigeria,183,70,15
522,Josh Dasilva,4,25,Midfielder,England,184,75,10
523,Kevin Schade,4,22,Midfielder,Germany,183,74,9
524,Mathias Jensen,4,28,Midfielder,Denmark,180,68,8
525,Mikkel Damsgaard,4,23,Midfielder,Denmark,180,66,24
526,Myles Peart-Harris,4,21,Midfielder,England,187,0,25
527,Shandon Baptiste,4,25,Midfielder,Grenada,175,67,26
528,Vitaly Janelt,4,25,Midfielder,Germany,184,79,27
529,Yehor Yarmoliuk,4,19,Midfielder,Ukraine,180,72,33
530,Yoane Wissa,4,27,Midfielder,Congo (Kinshasa),176,74,11
531,Ivan Toney,4,27,Forward,England,179,70,17
532,Keane Lewis-Potter,4,22,Forward,England,170,67,23
533,Michael Olakigbe,4,19,Forward,England,0,0,37
534,Neal Maupay,4,27,Forward,France,173,69,7
535,Saman Ghoddos,4,30,Forward,Iran,175,79,14
536,Andy Lonergan,9,40,Goalkeeper,England,192,87,31
537,Billy Crellin,9,23,Goalkeeper,England,185,60,0
538,Jordan Pickford,9,29,Goalkeeper,England,185,82,1
539,Joao Virginia,9,24,Goalkeeper,Portugal,193,83,0
540,Ashley Young,9,38,Defender,England,175,65,18
541,Ben Godfrey,9,25,Defender,England,183,74,0
542,Elijah Campbell,9,19,Defender,England,182,63,73
543,James Tarkowski,9,31,Defender,England,185,81,6
544,Jarrad Branthwaite,9,21,Defender,England,195,67,32
545,Michael Keane,9,30,Defender,England,191,82,0
546,Nathan Patterson,9,22,Defender,Scotland,189,83,2
547,Seamus Coleman,9,35,Defender,Ireland,177,67,0
548,Vitaliy Mykolenko,9,24,Defender,Ukraine,180,71,19
549,Abdoulaye Doucoure,9,31,Midfielder,Mali,184,75,16
550,Amadou Onana,9,22,Midfielder,Belgium,192,76,8
551,Andre Gomes,9,30,Midfielder,Portugal,188,84,0
552,Dele Alli,9,27,Midfielder,England,188,76,20
553,Idrissa Gueye,9,34,Midfielder,Senegal,174,66,27
554,Jack Harrison,9,27,Midfielder,England,175,70,0
555,James Garner,9,22,Midfielder,England,186,78,37
556,Jenson Metcalfe,9,19,Midfielder,England,0,0,0
557,Mackenzie Hunt,9,22,Midfielder,England,0,0,58
558,Tyler Onyango,9,20,Midfielder,England,190,76,0
559,Arnaut Danjuma,9,26,Forward,Netherlands,178,74,10
560,Beto,9,25,Forward,Portugal,194,88,14
561,Dominic Calvert-Lewin,9,26,Forward,England,187,71,9
562,Dwight McNeil,9,24,Forward,England,183,68,7
563,Lewis Dobbin,9,21,Forward,England,175,0,61
564,Youssef Chermiti,9,19,Forward,Portugal,192,84,0
565,James Shea,12,32,Goalkeeper,England,185,76,1
566,Thomas Kaminski,12,31,Goalkeeper,Belgium,190,78,24
567,Tim Krul,12,35,Goalkeeper,Netherlands,188,84,23
568,Amari Bell,12,29,Defender,Jamaica,180,66,29
569,Daniel Potts,12,29,Defender,England,172,70,3
570,Gabriel Osho,12,25,Defender,England,0,0,32
571,Issa Kabore,12,22,Defender,Burkina Faso,180,77,12
572,Joe Johnson,12,17,Defender,England,180,0,38
573,Mads Andersen,12,26,Defender,Denmark,194,81,5
574,Reece Burke,12,27,Defender,England,188,81,16
575,Teden Mengi,12,21,Defender,England,183,78,15
576,Tom Lockyer,12,29,Defender,Wales,185,72,4
577,Albert Sambi Lokonga,12,24,Midfielder,Belgium,173,67,28
578,Alfie Doughty,12,24,Midfielder,England,183,0,45
579,Andros Townsend,12,32,Midfielder,England,181,77,30
